index,subindex,value
0x2620,0x01,Circulo Safe Motion
0x2620,0x02,0
0x2621,0x01,0
0x2621,0x02,0
0x2621,0x03,0
0x2621,0x04,2
0x2621,0x05,500
0x2621,0x06,0
0x2621,0x07,0
0x2621,0x08,0
0x2625,0x01,1000
0x2625,0x02,0
0x2625,0x03,1000
0x2625,0x04,0
0x2625,0x05,0
0x2630,0x01,0
0x2630,0x02,1048576
0x2630,0x03,0
0x2630,0x04,19
0x2630,0x05,2
0x2630,0x06,0
0x2631,0x01,1
0x2631,0x02,1048576
0x2631,0x03,0
0x2635,0x01,1
0x2635,0x02,255
0x2635,0x03,0
0x2635,0x04,0
0x2635,0x05,20
0x2635,0x06,10
0x2635,0x07,10
0x2635,0x08,1
0x2635,0x09,1
0x2641,0x01,1
0x2641,0x02,255
0x2650,0x01,0
0x2650,0x02,0
0x2668,0x01,0
0x2668,0x02,0
0x2670,0x01,0
0x2690,0x01,0
0x2690,0x02,0
0x2690,0x03,0
0x2690,0x04,0
0x26F0,0x01,0
0x26F0,0x02,0
0x6651,0x01,3
0x6653,0x01,100
0x6654,0x01,1
0x6656,0x01,0
0x6657,0x01,1
0x6661,0x00,0
0x666A,0x01,100
0x666C,0x01,0
0x6671,0x01,3
0x6672,0x01,1
0x6674,0x01,0
0x6675,0x01,1
0x6676,0x01,0
0x6677,0x01,1715470337
0x6691,0x01,3
0x6691,0x02,3
0x6691,0x03,3
0x6691,0x04,3
0x6692,0x01,1
0x6692,0x02,1
0x6692,0x03,1
0x6692,0x04,1
0x6694,0x01,1
0x6694,0x02,1
0x6694,0x03,1
0x6694,0x04,1
0x6695,0x01,1
0x6695,0x02,1
0x6695,0x03,1
0x6695,0x04,1
0x6696,0x01,0
0x6696,0x02,0
0x6696,0x03,0
0x6696,0x04,0
0x6698,0x01,1715470337
0x6698,0x02,1715470337
0x6698,0x03,1715470337
0x6698,0x04,1715470337
0x66AA,0x00,0
0x66AC,0x00,0
0x66AD,0x00,1716518913
